,onset,offset,duration,label,start_x,start_y,end_x,end_y,amp,peak_vel,med_vel,avg_vel
73,2.279166666666667,2.3625,0.08333333333333304,FIX,,,,,,,,
74,2.3625,2.3666666666666667,0.004166666666666874,SACC,,,,,,,,
75,2.3666666666666667,2.404166666666667,0.03750000000000009,FIX,,,,,,,,
76,2.404166666666667,2.408333333333333,0.00416666666666643,SACC,,,,,,,,
77,2.408333333333333,2.4458333333333333,0.03750000000000009,FIX,,,,,,,,
78,2.4458333333333333,2.45,0.004166666666666874,SACC,,,,,,,,
79,2.45,2.5541666666666667,0.10416666666666652,FIX,,,,,,,,
80,2.5541666666666667,2.558333333333333,0.00416666666666643,SACC,,,,,,,,
81,2.558333333333333,2.5625,0.004166666666666874,FIX,,,,,,,,
82,2.5625,2.625,0.0625,SACC,,,,,,,,
83,2.625,2.645833333333333,0.020833333333333037,FIX,,,,,,,,
