onset	duration	label	start_x	start_y	end_x	end_y	amp	peak_vel	med_vel	avg_vel
36.254	0.200	FIXA	330.7	-113.0	396.0	-131.3	67.785	915.972	284.812	329.441
36.454	0.087	SACC	394.3	-132.4	110.2	-199.1	291.768	485.641	485.641	485.641
36.542	0.658	FIXA	105.7	-197.3	104.5	-77.0	120.310	998.073	202.987	299.450
37.200	0.075	SACC	107.2	-77.6	311.0	-106.4	205.843	651.316	651.316	651.316
37.275	0.217	FIXA	319.2	-107.1	329.7	-111.0	11.143	961.953	117.466	176.064
37.492	0.050	SACC	332.6	-110.4	418.0	-92.0	87.338	712.286	712.286	712.286
37.542	0.083	FIXA	427.0	-90.0	486.8	-78.3	60.930	954.538	698.184	573.954
37.625	0.096	SACC	485.0	-78.6	42.9	-110.4	443.184	696.772	442.665	453.714
37.721	0.538	FIXA	43.7	-107.8	221.1	-102.2	177.454	873.424	221.894	328.525
38.258	0.071	SACC	217.6	-102.9	46.3	-118.0	171.944	860.518	860.518	860.518
38.329	0.079	FIXA	38.2	-117.7	-5.1	-117.1	43.364	996.732	447.650	570.037
38.408	0.083	SACC	-2.8	-116.6	292.6	-84.5	297.144	568.814	568.814	568.814
38.492	0.388	FIXA	299.9	-85.3	440.2	-84.4	140.283	929.567	190.011	348.428
38.879	0.054	SACC	443.5	-84.3	545.4	-79.7	101.926	812.568	812.568	812.568
38.933	0.054	FIXA	554.5	-78.5	584.2	-73.0	30.215	942.449	626.922	550.527
38.987	0.517	SACC	584.6	-73.0	529.6	-100.8	61.558	956.781	770.660	617.933
39.504	0.033	HPSO	524.6	-101.5	565.2	-95.3	41.086	328.059	328.059	307.365
39.538	0.050	FIXA	570.5	-93.9	590.6	-87.5	21.114	606.838	328.059	319.249
39.587	0.275	SACC	591.0	-87.8	928.7	-87.3	337.632	991.500	944.986	859.640
39.862	0.033	HPSO	929.0	-87.0	940.6	-78.7	14.288	609.775	381.103	413.189
39.896	0.296	FIXA	952.7	-77.0	1808.6	-245.5	872.304	982.980	609.775	611.623
40.192	0.112	SACC	1812.4	-245.6	854.6	-151.3	962.352	916.691	541.692	555.581
40.304	0.383	FIXA	846.0	-148.2	1019.3	-96.2	180.910	984.359	748.306	606.289
40.688	0.104	SACC	1015.7	-96.8	1802.7	-140.2	788.108	858.460	198.502	239.180
40.792	0.129	FIXA	1808.8	-144.9	1964.6	-249.7	187.721	898.046	198.502	256.126
40.921	0.050	SACC	1967.4	-250.0	1910.2	-213.1	68.078	681.446	222.881	311.089
40.971	0.075	FIXA	1903.3	-208.5	1888.4	-200.5	16.963	832.084	309.174	404.320
41.046	0.029	SACC	1890.3	-202.6	1831.1	-179.9	63.463	691.138	691.138	691.138
41.075	7.037	FIXA	1824.8	-177.1	-635.7	-258.4	2461.865	999.229	598.177	586.890
48.112	0.417	SACC	-639.8	-258.6	-1412.7	-303.3	774.200	963.258	776.554	781.428
48.529	0.358	PURS	-1421.9	-303.2	-2421.1	-312.9	999.200	776.554	776.554	776.554
49.500	0.087	SACC	-2449.8	-314.0	-1674.9	-149.1	792.238	419.349	419.349	419.349
49.587	0.104	FIXA	-1660.9	-146.0	-1779.9	-183.5	124.762	946.397	692.419	647.550
49.692	0.167	SACC	-1777.6	-182.3	-390.8	-285.4	1390.596	629.043	629.043	629.043
49.858	0.479	FIXA	-387.1	-291.6	1537.4	-352.8	1925.539	973.932	740.024	740.128
50.808	1.550	FIXA	1210.9	-182.8	308.7	-28.0	914.928	995.813	665.171	650.567
52.358	0.079	SACC	307.4	-28.3	64.6	-29.8	242.868	308.712	308.712	308.712
52.438	0.296	FIXA	58.9	-30.4	5.2	-48.0	56.500	956.421	314.291	454.962
53.233	1.250	FIXA	76.1	-9.2	-12.0	-45.6	94.841	999.432	200.673	363.203
54.483	0.054	SACC	-9.1	-47.0	76.9	-86.3	94.573	760.306	760.306	760.306
54.538	0.804	FIXA	84.9	-90.0	-16.5	-38.4	113.752	900.166	189.594	278.418
55.342	0.083	SACC	-13.2	-40.3	353.8	-83.9	369.603	924.374	924.374	924.374
55.425	0.171	FIXA	363.1	-83.9	324.8	-96.2	40.254	924.374	415.847	473.112
55.596	0.058	SACC	327.5	-95.4	459.0	-96.1	131.502	683.390	683.390	683.390
55.654	0.508	FIXA	468.2	-96.8	333.4	-51.5	142.137	981.707	371.096	453.158
56.163	0.054	SACC	330.7	-53.1	242.3	-89.3	95.478	770.599	770.599	770.599
56.217	7.546	FIXA	233.9	-92.0	1478.9	349.3	1320.892	989.529	215.507	305.532
63.763	0.092	SACC	1482.0	350.3	1760.1	457.9	298.183	786.090	786.090	786.090
63.854	0.117	FIXA	1768.2	460.1	1933.9	482.3	167.148	989.482	989.482	906.441
63.971	0.258	SACC	1933.0	478.8	377.6	-133.3	1671.536	855.953	855.953	855.953
64.229	0.158	FIXA	369.4	-131.9	320.8	-110.2	53.267	902.527	455.050	486.817
64.388	0.075	SACC	319.2	-108.1	102.9	-53.2	223.213	622.605	622.605	622.605
64.463	0.150	FIXA	95.4	-52.2	105.2	-24.6	29.291	978.607	491.369	469.651
