,id,label,start_time,end_time,start_x,start_y,end_x,end_y,amp,peak_vel,med_vel,avg_vel
1103,,PURS,253.81666666666666,254.20833333333334,280.2555422653757,-60.39329045479983,294.1464845531132,-66.69244766235363,0,51.00241946011327,7.716211009472984,13.27269728186746
1104,533.0,SACC,254.20833333333334,254.28333333333333,291.496597037068,-66.38180694730079,72.04740161214846,-60.58530807495117,0,459.57909750541353,125.59929791406788,145.03235431079744
1105,,PURS,254.28333333333333,254.65833333333333,69.32135990758586,-55.83418412882409,119.86786634730927,-36.91398437337048,0,45.54282496416271,11.52836127581702,14.422507135841151
1106,,FIXA,254.65833333333333,254.7,119.93809223144476,-36.937259715337234,124.69017231464386,-38.65934875990856,0,25.674452301054995,0.7051064502213694,5.897207408928894
1107,,PURS,254.7,255.10833333333332,124.69017231464386,-38.60349792637896,104.80609834139848,-62.82806396484375,0,35.150957355022754,6.2386887907602,9.75939463311628
1108,1295.0,SACC,255.10833333333332,255.15,104.62532482186325,-63.56450444942461,53.50203135884479,-76.76607938251841,0,116.07825842767544,43.17772771531676,61.58103825210187
1109,,PURS,255.15,255.725,49.58659430008362,-77.3136726526259,14.099697475185437,-61.35336732528645,0,40.471618253802696,6.278794782965257,9.468067521430163
1110,1724.0,SACC,255.725,255.74166666666667,12.020506070369182,-62.2722967038871,4.382214307785034,-90.1549100875855,0,164.50982022519756,88.72651879434613,88.72651879434613
1111,,PURS,255.74166666666667,256.075,4.382214307785034,-90.1549100875855,93.73069026144135,-66.80328075907981,0,258.91746783567834,8.238326276141489,21.0697159934498
1112,586.0,SACC,256.075,256.1166666666667,105.6273606536959,-68.294656276703,225.2456317627632,-64.03570335726657,0,410.2396109186497,68.13982974614855,162.5842735773486
1113,,PURS,256.1166666666667,256.375,227.66809582710263,-61.63904699714004,203.34151312751345,-50.454998016357536,0,166.1550310701063,20.84156825662236,30.11194807729077
1114,,FIXA,256.375,256.4166666666667,203.47670012971497,-50.454998016357536,203.43469221979623,-49.73903547568183,0,1.7819389814522713,0.7644131924049272,0.991470129128939
1115,,PURS,256.4166666666667,256.625,203.2203493664326,-49.72976783452776,211.2581057548523,-44.81148719787598,0,18.487472447212777,8.420168501980418,7.743341960359422
